product success mcic calc_mcic percent game_percent offer puo cop co co1 co2 mid fo
ore 1 40 40 0.3 0 2402 24.51 1.208 2898 2890 2554 0 1
org 1 30 30 0.3 0 4805 49.03 1.154 5537 5530 5238 2 1
equ 1 20 20 0.3 0 8697 88.744 1.102 9569 9560 9210 2 1
ore 1 40 40 1.6 1 12883 24.632 1.208 15543 15500 14192 1 1
org 1 30 30 1.6 1 25741 49.217 1.154 29666 29600 26927 0 1
equ 1 20 20 1.6 1 46532 88.971 1.102 51199 51100 48790 1 1
ore 1 40 40 2.8 2 22645 24.748 1.208 27321 27300 24093 0 1
org 1 30 30 2.8 2 45194 49.392 1.154 52086 52000 49254 2 1
equ 1 20 20 2.8 2 81603 89.183 1.102 89787 89700 84027 0 1
ore 1 40 40 3.8 3 30857 24.844 1.208 37228 37200 34024 1 1
org 1 30 30 3.8 3 61526 49.537 1.154 70908 70900 66169 1 1
equ 1 20 20 3.8 3 110985 89.359 1.102 122116 122000 117530 2 1
ore 1 40 40 4.8 4 39132 24.94 1.208 47212 47200 43156 1 1
org 1 30 30 4.8 4 77953 49.683 1.154 89840 89800 83826 1 1
equ 1 20 20 4.8 4 140483 89.536 1.102 154573 154000 148560 2 1
ore 1 40 40 5.3 5 43306 24.989 1.208 52248 52200 48627 2 1
org 1 30 30 5.3 5 86227 49.755 1.154 99376 99300 90216 0 1
equ 1 20 20 5.3 5 155320 89.624 1.102 170898 170000 164124 2 1
ore 1 40 40 6.6 6 54195 25.113 1.208 65386 65300 59742 1 1
org 1 30 30 6.6 6 107782 49.945 1.154 124218 124000 112753 0 1
equ 1 20 20 6.6 6 193905 89.854 1.102 213353 213000 203339 1 1
ore 1 40 40 7.8 7 64333 25.228 1.208 77617 77600 68453 0 1
org 1 30 30 7.8 7 127805 50.119 1.154 147295 147000 137348 1 1
equ 1 20 20 7.8 7 229667 90.065 1.102 252702 252000 240739 1 1
ore 1 40 40 8.9 8 73723 25.334 1.208 88946 88900 82798 2 1
org 1 30 30 8.9 8 146314 50.279 1.154 168626 168000 153018 0 1
equ 0 20 20 8.9 8 262656 90.259 1.102 289000 289000 285298 1 0
ore 1 40 40 9.8 9 81448 25.42 1.208 98267 98200 86659 0 1
org 1 30 30 9.8 9 161516 50.41 1.154 186147 186000 173657 1 1
equ 1 20 20 9.8 9 289701 90.418 1.102 318758 318000 303710 1 1
ore 1 40 40 10.5 10 87500 25.487 1.208 105568 105000 98017 2 1
org 1 30 30 10.5 10 173410 50.512 1.154 199855 199000 186192 1 1
equ 0 20 20 10.5 10 310830 90.541 1.102 342006 342000 337620 1 0
ore 1 40 40 11.1 11 92704 25.545 1.208 111847 111000 98529 0 1
org 1 30 30 11.1 11 183626 50.599 1.154 211628 211000 199992 2 1
equ 1 20 20 11.1 11 328960 90.647 1.102 361954 361000 338662 0 1
ore 1 40 40 12.9 12 108480 25.718 1.208 130881 130000 115312 0 1
org 1 30 30 12.9 12 214535 50.861 1.154 247251 247000 230645 1 1
equ 1 20 20 12.9 12 383692 90.965 1.102 422176 422000 402548 1 1
ore 1 40 40 13.1 13 110233 25.737 1.208 132996 132000 117162 0 1
org 1 30 30 13.1 13 217965 50.89 1.154 251204 251000 237660 2 1
