success mcic calc_mcic percent game_percent offer puo cop co co1 co2 mid fo retries
1 20 20 0.6 1 29059 88.865 1.1007 31985 31900 30247 0 1 1
1 20 20 1.6 2 58234 89.042 1.1007 64098 64000 60635 0 1 1
1 20 20 2.2 3 87524 89.219 1.1007 96337 96300 91162 0 1 1
1 20 20 3.8 4 116929 89.395 1.1007 128703 128000 121615 0 1 1
1 20 20 4.9 5 146450 89.571 1.1007 161197 161000 152502 0 1 1
1 20 20 6 6 176086 89.748 1.1007 193817 193000 186736 2 1 1
1 20 20 6.3 7 205838 89.924 1.1007 226565 226000 218492 2 1 1
1 20 20 7.6 8 235705 90.101 1.1007 259440 259000 245415 0 1 1
1 20 20 8.4 9 265687 90.277 1.1007 292441 292000 280274 1 1 1
1 20 20 9.2 10 295785 90.454 1.1007 325570 325000 314100 2 1 1
1 20 20 10.5 11 325998 90.63 1.1007 358825 358000 343773 1 1 1
1 20 20 11.4 12 356326 90.806 1.1007 392208 392000 378643 2 1 1
1 20 20 12.7 13 386770 90.983 1.1007 425717 425000 410733 2 1 1
1 20 20 14 14 417329 91.159 1.1007 459354 459000 443408 2 1 1
0 20 20 14.4 15 448003 91.335 1.1007 493116 493000 486675 1 0 1
1 20 20 15.1 16 478793 91.512 1.1007 527007 527000 498750 0 1 1
1 20 20 16.7 17 509698 91.688 1.1007 561024 561000 553785 1 0 1
0 20 20 18 18 540719 91.865 1.1007 595169 595000 587371 1 0 1
1 20 20 18.7 19 571854 92.041 1.1007 629439 629000 607613 2 1 1
1 20 20 19.3 20 603106 92.218 1.1007 663838 663000 628025 0 1 1
1 20 20 20.4 21 634472 92.394 1.1007 698363 698000 669614 1 1 1
1 20 20 21.7 22 665954 92.57 1.1007 733015 733000 723570 1 0 1
1 20 20 22.7 23 697552 92.747 1.1007 767795 767000 726420 0 1 1
1 20 20 23.3 24 729264 92.923 1.1007 802700 802000 774795 2 1 1
1 20 20 25 25 761093 93.1 1.1007 837735 837000 792625 0 1 1
1 20 20 25.6 26 793036 93.276 1.1007 872894 872000 836765 1 1 1
1 20 20 26.3 27 825095 93.452 1.1007 908182 908000 859442 0 1 1
1 20 20 27.9 28 857269 93.629 1.1007 943595 943000 910910 2 1 1
0 20 20 29 29 889559 93.805 1.1007 979137 979000 966425 1 0 1
1 20 20 29.4 30 921963 93.981 1.1007 1014804 1010000 959122 0 1 1
1 20 20 31 31 954484 94.158 1.1007 1050600 1050000 1007324 1 1 1
1 20 20 31.4 32 987119 94.334 1.1007 1086521 1080000 1045793 2 1 1
1 20 20 32.3 33 1019870 94.511 1.1007 1122570 1120000 1061702 0 1 1
1 20 20 33.9 34 1052737 94.687 1.1007 1158747 1150000 1107469 1 1 1
1 20 20 34.7 35 1085820 94.864 1.1007 1195162 1190000 1151427 2 1 1
1 20 20 35.3 36 1118816 95.04 1.1007 1231480 1230000 1165062 0 1 1
1 20 20 36.7 37 1152028 95.216 1.1007 1268037 1260000 1212597 1 1 1
1 20 20 37.9 38 1185356 95.393 1.1007 1304721 1300000 1233517 0 1 1
1 20 20 38.2 39 1218799 95.569 1.1007 1341532 1340000 1285935 1 1 1
1 20 20 39.6 40 1252358 95.746 1.1007 1378470 1370000 1326697 2 1 1
1 20 20 40.8 41 1286032 95.922 1.1007 1415535 1410000 1364045 2 1 1
1 20 20 41.1 42 1319821 96.098 1.1007 1452726 1450000 1392054 1 1 1
1 20 20 42.5 43 1353726 96.275 1.1007 1490046 1490000 1410145 0 1 1
1 20 20 43.5 44 1387746 96.451 1.1007 1527492 1520000 1461668 1 1 1
1 20 20 44.7 45 1421881 96.627 1.1007 1565064 1560000 1498769 1 1 1
1 20 20 45.5 46 1456132 96.804 1.1007 1602764 1600000 1516100 0 1 1
0 20 20 46.6 47 1490498 96.98 1.1007 1640591 1640000 1618993 1 0 1
1 20 20 47.4 48 1524979 97.157 1.1007 1678544 1670000 1616437 2 1 1
1 20 20 48.9 49 1559576 97.333 1.1007 1716625 1710000 1643436 1 1 1
1 20 20 49.4 50 1594289 97.51 1.1007 1754833 1750000 1680869 1 1 1
1 20 20 51 51 1629116 97.686 1.1007 1793167 1790000 1696187 0 1 1
1 20 20 51.4 52 1664059 97.862 1.1007 1831629 1830000 1755925 1 1 1
1 20 20 52.3 52 1699117 98.039 1.1007 1870218 1870000 1769887 0 1 1
1 20 20 53.3 54 1734291 98.215 1.1007 1908934 1900000 1838716 2 1 1
1 20 20 54.2 55 1769580 98.391 1.1007 1947776 1940000 1864620 1 1 1
1 20 20 55.8 56 1804985 98.568 1.1007 1986746 1980000 1878440 0 1 1
1 20 20 56.5 57 1840504 98.744 1.1007 2025842 2020000 1915677 0 1 1
1 20 20 57.2 58 1876139 98.921 1.1007 2065066 2060000 1978300 1 1 1
1 20 20 58.6 58 1911890 99.097 1.1007 2104417 2100000 2029886 2 1 1
1 20 20 59.7 60 1947756 99.274 1.1007 2143895 2140000 2027917 0 1 1
1 20 20 60.3 61 1983737 99.45 1.1007 2183499 2180000 2092570 1 1 1
1 20 20 61.5 62 2019834 99.626 1.1007 2223231 2220000 2145251 2 1 1
1 20 20 63 63 2056046 99.803 1.1007 2263089 2260000 2169081 1 1 1
1 20 20 63.4 64 2092373 99.979 1.1007 2303074 2300000 2178780 0 1 1
1 20 20 64.9 65 2128816 100.156 1.1007 2343187 2340000 2216712 0 1 1
1 20 20 65.3 66 2165374 100.332 1.1007 2383427 2380000 2284345 1 1 1
1 20 20 66.1 67 2202047 100.508 1.1007 2423793 2420000 2292835 0 1 1
1 20 20 67.1 68 2238836 100.685 1.1007 2464286 2460000 2361516 1 1 1
1 20 20 68.5 69 2275740 100.861 1.1007 2504907 2500000 2400200 1 1 1
1 20 20 69.3 70 2312760 101.038 1.1007 2545654 2540000 2407670 0 1 1
1 20 20 70.3 71 2349895 101.214 1.1007 2586529 2580000 2477769 1 1 1
