success mcic calc_mcic percent game_percent offer puo cop co co1 co2 mid fo retries
1 40 40 0.5 1 8036 24.574 1.2067 9697 9690 9077 2 1 1
1 40 40 1.6 2 16135 24.671 1.2067 19470 19400 17968 1 1 1
1 40 40 2.2 3 24297 24.767 1.2067 29319 29300 27097 1 1 1
1 40 40 3.3 4 32522 24.863 1.2067 39244 39200 35367 0 1 1
1 40 40 4.5 5 40810 24.96 1.2067 49245 49200 45504 1 1 1
1 40 40 5.3 6 49160 25.056 1.2067 59321 59300 54829 1 1 1
1 40 40 6.6 7 57573 25.152 1.2067 69473 69400 64191 1 1 1
1 40 40 7.6 8 66049 25.248 1.2067 79701 79700 71852 0 1 1
1 40 40 8.3 9 74587 25.343 1.2067 90004 90000 83203 1 1 1
1 40 40 9.2 10 83189 25.44 1.2067 100384 100000 93805 2 1 1
1 40 40 10.6 11 91853 25.536 1.2067 110839 110000 102090 1 1 1
1 40 40 11.4 12 100580 25.632 1.2067 121369 121000 112035 1 1 1
1 40 40 12.2 13 109370 25.728 1.2067 131976 131000 121569 1 1 1
1 40 40 13.8 14 118222 25.823 1.2067 142658 142000 128425 0 1 1
1 40 40 14.6 15 127138 25.92 1.2067 153417 153000 138195 0 1 1
1 40 40 15.9 16 136116 26.016 1.2067 164251 164000 151731 1 1 1
1 40 40 16.6 17 145157 26.112 1.2067 175160 175000 163957 2 1 1
1 40 40 17.8 18 154260 26.207 1.2067 186145 186000 172018 1 1 1
1 40 40 19 19 163427 26.304 1.2067 197207 197000 182217 1 1 1
1 40 40 19.2 20 172656 26.4 1.2067 208343 208000 192450 1 1 1
1 40 40 20.1 21 181948 26.495 1.2067 219556 219000 197780 0 1 1
1 40 40 21.8 22 191303 26.592 1.2067 230845 230000 213027 1 1 1
1 40 40 22.2 23 200720 26.687 1.2067 242208 242000 218300 0 1 1
1 40 40 23.8 24 210201 26.784 1.2067 253649 253000 237203 2 1 1
1 40 40 24.6 25 219744 26.88 1.2067 265165 265000 245058 1 1 1
1 40 40 25.6 26 229350 26.976 1.2067 276756 276000 249292 0 1 1
1 40 40 26.8 27 239019 27.072 1.2067 288424 288000 266444 1 1 1
1 40 40 27.3 28 248750 27.167 1.2067 300166 300000 277415 1 1 1
1 40 40 29 29 258545 27.264 1.2067 311986 311000 280990 0 1 1
1 40 40 29.7 30 268402 27.36 1.2067 323880 323000 291742 0 1 1
1 40 40 30.2 31 278321 27.455 1.2067 335849 335000 310096 1 1 1
1 40 40 31.6 32 288304 27.551 1.2067 347896 347000 313387 0 1 1
1 40 40 32.5 33 298350 27.648 1.2067 360018 360000 324562 0 1 1
1 40 40 33.9 34 308458 27.744 1.2067 372216 372000 343998 1 1 1
1 40 40 34.2 35 318629 27.84 1.2067 384489 384000 359827 2 1 1
1 40 40 35.6 36 328863 27.936 1.2067 396838 396000 371205 2 1 1
1 40 40 36.8 37 339159 28.031 1.2067 409263 409000 368890 0 1 1
1 40 40 37.5 38 349519 28.128 1.2067 421764 421000 380020 0 1 1
1 40 40 38.3 39 359941 28.224 1.2067 434340 434000 391477 0 1 1
1 40 40 39.7 40 370426 28.32 1.2067 446993 446000 412780 1 1 1
1 40 40 40.7 41 380973 28.415 1.2067 459720 459000 424667 1 1 1
1 40 40 41.8 42 391584 28.512 1.2067 472524 472000 425847 0 1 1
1 40 40 42.1 43 402257 28.607 1.2067 485403 485000 437492 0 1 1
1 40 40 43.9 44 412993 28.703 1.2067 498358 498000 466539 2 1 1
1 40 40 44.6 45 423792 28.8 1.2067 511389 511000 478726 2 1 1
1 40 40 45.3 46 434654 28.896 1.2067 524496 524000 490943 2 1 1
1 40 40 46.2 47 445578 28.991 1.2067 537678 537000 503194 2 1 1
1 40 40 47.6 48 456565 29.087 1.2067 550936 550000 515472 2 1 1
1 40 40 48.7 49 467615 29.183 1.2067 564271 564000 521521 1 1 1
1 40 40 49.6 50 478728 29.28 1.2067 577681 577000 540656 2 1 1
1 40 40 50.9 51 489904 29.376 1.2067 591167 591000 553562 2 1 1
1 40 40 51.3 52 501142 29.472 1.2067 604728 604000 565960 2 1 1
1 40 40 52.2 52 512443 29.567 1.2067 618364 618000 578928 2 1 1
