success mcic calc_mcic percent game_percent offer puo cop co co1 co2 mid fo retries
1 30 30 1 1 16066 49.131 1.1527 18519 18500 17595 2 1 1
1 30 30 1.4 2 32227 49.276 1.1527 37148 37100 35287 2 1 1
1 30 30 2.5 3 48482 49.42 1.1527 55885 55800 52560 1 1 1
1 30 30 3.5 4 64834 49.567 1.1527 74734 74700 68982 0 1 1
1 30 30 4.4 5 81280 49.712 1.1527 93691 93600 89019 2 1 1
1 30 30 5.1 6 97821 49.857 1.1527 112758 112000 103885 0 1 1
1 30 30 6.1 7 114458 50.003 1.1527 131935 131000 123761 1 1 1
1 30 30 7.4 8 131190 50.149 1.1527 151222 151000 143641 2 1 1
1 30 30 8.5 9 148017 50.294 1.1527 170619 170000 160308 1 1 1
1 30 30 9.1 10 164939 50.44 1.1527 190125 190000 178885 1 1 1
1 30 30 10.2 11 181956 50.585 1.1527 209740 209000 197075 1 1 1
1 30 30 11.6 12 199068 50.73 1.1527 229465 229000 215760 1 1 1
1 30 30 12.5 13 216276 50.876 1.1527 249301 249000 230060 0 1 1
1 30 30 13.4 14 233579 51.022 1.1527 269246 269000 255827 2 1 1
1 30 30 14.9 15 250977 51.167 1.1527 289301 289000 272151 1 1 1
1 30 30 15.5 16 268470 51.313 1.1527 309465 309000 285555 0 1 1
1 30 30 16.7 17 286058 51.458 1.1527 329739 329000 310014 1 1 1
1 30 30 17.5 18 303741 51.603 1.1527 350122 350000 329473 1 1 1
1 30 30 18.9 19 321520 51.749 1.1527 370616 370000 351996 2 1 1
1 30 30 19.8 20 339393 51.894 1.1527 391218 391000 361092 0 1 1
1 30 30 20.4 21 357362 52.04 1.1527 411931 411000 380020 0 1 1
1 30 30 21.5 22 375426 52.185 1.1527 432753 432000 410996 2 1 1
1 30 30 22.8 23 393585 52.331 1.1527 453685 453000 418630 0 1 1
1 30 30 24 24 411839 52.476 1.1527 474726 474000 446480 1 1 1
1 30 30 24.8 25 430189 52.622 1.1527 495878 495000 466319 1 1 1
1 30 30 25.2 26 448634 52.768 1.1527 517140 517000 491543 2 1 1
1 30 30 26.1 27 467173 52.913 1.1527 538510 538000 506606 1 1 1
1 30 30 27.2 28 485808 53.058 1.1527 559990 559000 531827 2 1 1
1 30 30 28.2 29 504538 53.204 1.1527 581580 581000 552568 2 1 1
1 30 30 30 30 523364 53.35 1.1527 603281 603000 573360 2 1 1
1 30 30 30.7 31 542284 53.495 1.1527 625090 625000 588281 1 1 1
1 30 30 31.1 32 561299 53.64 1.1527 647009 647000 615073 2 1 1
